provider_id,hospital_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,meets_criteria_for_meaningful_use_of_ehrs,hospital_overall_rating,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison,efficient_use_of_medical_imaging_national_comparison
341318,VIDANT CHOWAN HOSPITAL,211 VIRGINIA RD,EDENTON,NC,27932,CHOWAN,2524828451,Critical Access Hospitals,Government - Local,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
260050,SSM HEALTH ST FRANCIS HOSPITAL - MARYVILLE,2016 SOUTH MAIN ST,MARYVILLE,MO,64468,NODAWAY,6605622600,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150169,COMMUNITY HOSPITAL NORTH,7150 CLEARVISTA DR,INDIANAPOLIS,IN,46256,MARION,3176215335,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
341325,ASHE MEMORIAL HOSPITAL,200 HOSPITAL AVE,JEFFERSON,NC,28640,ASHE,3362467101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,,Same as the national average,
190020,LANE REGIONAL MEDICAL CENTER,6300 MAIN STREET,ZACHARY,LA,70791,EAST BATON ROUGE,2256584000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2.0,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
10069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
450684,MEMORIAL HERMANN NORTHEAST,18951 MEMORIAL NORTH,HUMBLE,TX,77338,HARRIS,2815407700,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4.0,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
50782,CASA COLINA HOSPITAL,255 E BONITA AVE,POMONA,CA,91767,LOS ANGELES,9095967733,Acute Care Hospitals,Voluntary non-profit - Private,No,,,,,,,,,
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3.0,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
410011,LANDMARK MEDICAL CENTER,115 CASS AVENUE,WOONSOCKET,RI,2895,PROVIDENCE,4017694100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
171372,SCOTT COUNTY HOSPITAL,201 ALBERT AVENUE,SCOTT CITY,KS,67871,SCOTT,6208725811,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Same as the national average,,Same as the national average,,,,
180009,KING'S DAUGHTERS' MEDICAL CENTER,2201 LEXINGTON AVENUE,ASHLAND,KY,41101,BOYD,6064084401,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
521330,CROSSING RIVERS HEALTH MEDICAL CENTER,37868 US HWY 18,PRAIRIE DU CHIEN,WI,53821,CRAWFORD,6083572000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,Same as the national average,Above the national average,
30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,SAN TAN VALLEY,AZ,85140,PINAL,4803944030,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,
400128,"HOSPITAL PAVIA HATO REY, INC",AVE PONCE DE LEON 435,HATO REY,PR,919,SAN JUAN,7877540909,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,,,,,Same as the national average,,
190297,DOCTORS HOSPITAL AT DEER CREEK L L C,815 SOUTH 10TH STREET,LEESVILLE,LA,71446,VERNON,3373925088,Acute Care Hospitals,Proprietary,No,Y,,,,Same as the national average,Above the national average,,,
110187,CHESTATEE REGIONAL HOSPITAL,227 MOUNTAIN DRIVE,DAHLONEGA,GA,30533,LUMPKIN,7068646136,Acute Care Hospitals,Proprietary,Yes,Y,3.0,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
240004,HENNEPIN COUNTY MEDICAL CENTER 1,701 PARK AVENUE,MINNEAPOLIS,MN,55415,HENNEPIN,6128733629,Acute Care Hospitals,Government - Local,Yes,Y,2.0,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
151318,DUKES MEMORIAL HOSPITAL,275 W 12TH ST,PERU,IN,46970,MIAMI,7654728000,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
230141,MCLAREN FLINT,401 S BALLENGER HIGHWAY,FLINT,MI,48532,GENESEE,8103422000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
231310,SCHEURER HOSPITAL,170 N CASEVILLE RD,PIGEON,MI,48755,HURON,9894533223,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,,,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
231321,BELL HOSPITAL,901 LAKESHORE DRIVE,ISHPEMING,MI,49849,MARQUETTE,9064864431,Critical Access Hospitals,Proprietary,Yes,Y,4.0,Same as the national average,,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
490001,NORTON COMMUNITY HOSPITAL,100 15TH NW STREET,NORTON,VA,24273,NORTON CITY,7036798865,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
100007,FLORIDA HOSPITAL,601 E ROLLINS ST,ORLANDO,FL,32803,ORANGE,4073031976,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
100087,SARASOTA MEMORIAL HOSPITAL,1700 S TAMIAMI TRL,SARASOTA,FL,34239,SARASOTA,9419179000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,5.0,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
360362,TRIHEALTH EVENDALE HOSPITAL,3155 GLENDALE MILFORD ROAD,CINCINNATI,OH,45241,HAMILTON,5134542222,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,,,,Above the national average,Same as the national average,,
490038,SMYTH COUNTY COMMUNITY HOSPITAL,245 MEDICAL PARK DRIVE,MARION,VA,24354,SMYTH,2763781000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
231300,PAUL OLIVER MEMORIAL HOSPITAL,224 PARK AVENUE,FRANKFORT,MI,49635,BENZIE,2313522200,Critical Access Hospitals,Government - Local,Yes,Y,,,,,,,Above the national average,Same as the national average
